City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Barcelos,PT,2022-10-14 15:03:52,41.5388,-8.6151,75.92,67,9,8.46
68,Chuy,UY,2022-10-14 15:03:52,-33.6971,-53.4616,58.82,44,14,11.79
69,Podyuga,RU,2022-10-14 15:03:53,61.095,40.8647,41.59,86,98,4.65
70,Ferme-Neuve,CA,2022-10-14 15:03:53,46.7001,-75.4493,50.85,75,7,7.29
71,Buchanan,LR,2022-10-14 15:03:53,5.8808,-10.0467,79.29,80,100,7.76
72,Yar-Sale,RU,2022-10-14 15:03:54,66.8333,70.8333,41.49,90,100,9.35
73,Byumba,RW,2022-10-14 15:03:54,-1.5763,30.0675,75.4,53,80,1.23
74,Shujaabad,PK,2022-10-14 15:03:54,29.8797,71.2931,82.45,18,0,4.03
75,Millbrook,US,2022-10-14 15:03:55,32.4799,-86.3619,68.32,52,0,0.0
76,Camacha,PT,2022-10-14 15:03:55,33.0833,-16.3333,71.02,68,40,18.41
77,Quatre Cocos,MU,2022-10-14 15:03:55,-20.2078,57.7625,72.09,71,10,14.45
78,Arroio Grande,BR,2022-10-14 15:03:56,-32.2375,-53.0869,62.51,48,5,13.58
79,Comodoro Rivadavia,AR,2022-10-14 15:02:29,-45.8667,-67.5,56.16,46,2,7.09
80,Kathmandu,NP,2022-10-14 14:59:51,27.7167,85.3167,66.42,88,20,3.44
81,Havoysund,NO,2022-10-14 15:03:56,70.9963,24.6622,41.23,80,99,13.27
82,Ancud,CL,2022-10-14 15:03:57,-41.8697,-73.8203,53.78,70,14,2.44
83,Cayenne,GF,2022-10-14 15:03:57,4.9333,-52.3333,87.84,62,40,12.66
84,Zelezna Ruda,CZ,2022-10-14 15:03:57,49.1374,13.2352,59.2,88,83,3.04
85,Vorchdorf,AT,2022-10-14 15:03:58,48.0039,13.9212,62.35,79,52,3.8
86,Oriximina,BR,2022-10-14 15:03:58,-1.7656,-55.8661,94.35,44,72,5.46
87,Semey,KZ,2022-10-14 15:03:59,50.4111,80.2275,50.23,39,13,7.31
88,Chambery,FR,2022-10-14 15:03:59,45.5667,5.9333,66.34,85,100,3.44
89,Hambantota,LK,2022-10-14 15:03:59,6.1241,81.1185,77.34,100,75,5.75
90,Sisak,HR,2022-10-14 15:04:00,45.4661,16.3783,66.18,63,39,3.38
91,Artyom,AZ,2022-10-14 15:04:00,40.4723,50.333,68.14,61,52,11.32
92,Torbay,CA,2022-10-14 15:03:19,47.6666,-52.7314,61.88,78,39,4.0
93,Sao Joao Da Barra,BR,2022-10-14 15:05:01,-21.6403,-41.0511,84.29,75,6,14.45
94,Kashan,IR,2022-10-14 15:05:01,33.9831,51.4364,78.31,18,9,2.42
95,Sao Felix Do Xingu,BR,2022-10-14 15:00:54,-6.6447,-51.995,100.44,27,64,3.22
96,Vallenar,CL,2022-10-14 15:05:02,-28.5708,-70.7581,77.92,28,0,7.07
97,Iqaluit,CA,2022-10-14 15:00:14,63.7506,-68.5145,29.93,74,75,8.05
98,Iquitos,PE,2022-10-14 15:05:03,-3.7481,-73.2472,86.04,84,0,4.61
99,Yafran,LY,2022-10-14 15:05:03,32.0633,12.5286,72.79,49,19,15.32
100,Namibe,AO,2022-10-14 15:05:04,-15.1961,12.1522,71.49,76,33,10.94
101,Emba,KZ,2022-10-14 15:05:04,48.8264,58.1442,52.11,47,100,6.4
102,Nacala,MZ,2022-10-14 15:05:05,-14.5428,40.6728,77.79,64,0,7.92
103,Acari,PE,2022-10-14 15:05:05,-15.4311,-74.6158,72.79,43,1,8.41
104,Andra,RU,2022-10-14 15:05:05,62.5147,65.8878,42.1,78,100,9.31
105,Williamsburg,US,2022-10-14 15:05:06,37.2707,-76.7075,63.81,68,83,1.01
106,Hamilton,US,2022-10-14 15:00:14,39.1834,-84.5333,57.99,52,0,3.0
107,Albanel,CA,2022-10-14 15:05:06,48.8832,-72.4487,49.59,96,100,6.71
108,Sao Gabriel Da Cachoeira,BR,2022-10-14 15:05:07,-0.1303,-67.0892,88.27,56,95,4.63
109,Punta Cardon,VE,2022-10-14 15:05:07,11.6581,-70.215,85.12,67,27,16.44
110,Ostrovnoy,RU,2022-10-14 15:05:08,68.0531,39.5131,43.39,94,100,4.99
111,Verkhnyaya Inta,RU,2022-10-14 15:05:08,65.9811,60.3094,40.78,92,100,2.57
112,Surt,LY,2022-10-14 15:05:09,31.2089,16.5887,77.0,64,0,20.31
113,Honningsvag,NO,2022-10-14 15:05:09,70.9821,25.9704,40.75,93,100,6.91
114,Amapa,BR,2022-10-14 15:05:09,1.0,-52.0,92.84,42,62,6.35
115,Krosno,PL,2022-10-14 15:05:10,49.6887,21.7706,59.63,87,100,6.04
116,Dalbandin,PK,2022-10-14 15:05:10,28.8947,64.4101,74.84,8,0,2.77
117,Naryan-Mar,RU,2022-10-14 15:05:11,67.6713,53.087,39.43,77,100,12.08
118,Camopi,GF,2022-10-14 15:05:11,3.1655,-52.3158,91.27,45,75,5.46
119,Moa,CU,2022-10-14 15:05:12,20.6569,-74.9403,85.48,65,56,2.73
120,Narsaq,GL,2022-10-14 15:05:12,60.9167,-46.05,32.22,61,0,5.97
121,Pozzallo,IT,2022-10-14 15:05:12,36.7305,14.8499,77.65,46,65,15.12
122,Salalah,OM,2022-10-14 15:05:13,17.0151,54.0924,80.69,78,40,6.91
123,Mar Del Plata,AR,2022-10-14 15:04:42,-38.0023,-57.5575,54.95,57,0,10.36
124,Barwadih,IN,2022-10-14 15:05:14,23.8333,84.1167,71.49,88,25,3.31
125,Sorland,NO,2022-10-14 15:05:14,67.667,12.6934,48.06,64,100,20.56
126,Jeremie,HT,2022-10-14 15:05:14,18.65,-74.1167,85.35,62,58,4.21
127,Balod,IN,2022-10-14 15:05:15,20.73,81.2047,74.01,89,7,5.28
128,Mahibadhoo,MV,2022-10-14 15:05:16,3.7833,72.9667,80.08,81,100,24.56
129,Ponta Do Sol,PT,2022-10-14 15:05:16,32.6667,-17.1,75.83,64,40,2.57
130,Jais,IN,2022-10-14 15:05:16,26.25,81.5333,76.17,60,0,3.31
131,Seydi,TM,2022-10-14 15:05:17,39.4816,62.9137,71.94,26,84,9.37
132,Bandarbeyla,SO,2022-10-14 15:05:17,9.4942,50.8122,78.06,85,4,19.66
133,Upata,VE,2022-10-14 15:05:17,8.0086,-62.3989,82.31,62,63,3.69
134,Vila Franca Do Campo,PT,2022-10-14 15:00:35,37.7167,-25.4333,73.81,73,90,9.28
135,Maues,BR,2022-10-14 15:05:18,-3.3836,-57.7186,89.42,57,92,4.25
136,Barsovo,RU,2022-10-14 15:05:19,61.1667,73.1667,41.13,74,100,12.08
137,Trinitapoli,IT,2022-10-14 15:05:19,41.3572,16.0874,69.98,62,7,9.98
138,Ibaiti,BR,2022-10-14 15:01:44,-23.8486,-50.1878,68.31,76,100,5.3
139,East London,ZA,2022-10-14 15:06:19,-33.0153,27.9116,67.01,75,100,8.93
140,Pangnirtung,CA,2022-10-14 15:06:20,66.1451,-65.7125,31.57,54,100,3.11
141,Klaksvik,FO,2022-10-14 15:06:20,62.2266,-6.589,45.52,88,100,22.77
142,Kavaratti,IN,2022-10-14 15:06:21,10.5669,72.642,82.53,68,65,5.73
143,Sakakah,SA,2022-10-14 15:06:21,29.9697,40.2064,85.46,20,0,7.67
144,Pangody,RU,2022-10-14 15:06:21,65.85,74.4859,39.76,80,99,13.8
145,Bathsheba,BB,2022-10-14 15:06:22,13.2167,-59.5167,88.41,70,20,12.66
146,Cidreira,BR,2022-10-14 15:06:22,-30.1811,-50.2056,63.27,70,100,14.18
147,Bom Jesus,BR,2022-10-14 15:06:23,-9.0744,-44.3586,100.71,22,17,6.69
148,Pomezia,IT,2022-10-14 15:06:23,41.667,12.5052,76.57,65,0,10.36
149,Archis,RO,2022-10-14 15:06:23,46.4833,22.05,61.27,55,64,4.61
150,Bilma,NE,2022-10-14 15:06:24,18.6853,12.9164,95.94,8,0,4.74
151,Upernavik,GL,2022-10-14 15:06:24,72.7868,-56.1549,26.92,76,100,29.24
152,Gat,IL,2022-10-14 15:06:25,31.61,34.7642,77.68,100,1,10.83
153,Saint George,US,2022-10-14 15:06:02,37.1041,-113.5841,64.8,31,0,8.05
154,Shubarkuduk,KZ,2022-10-14 15:06:25,49.1447,56.4872,52.29,46,100,5.82
