,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Namibe,AO,67.12,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
225,Nizwa,OM,74.03,overcast clouds,22.9333,57.5333,Orient Apartments
231,Genoa,IT,69.55,clear sky,44.4129,8.9573,NH Collection Genova Marina
235,Chimoio,MZ,63.45,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
245,Fiumicino,IT,69.66,clear sky,41.7675,12.2291,Hotel Al Porticciolo
250,Pimentel,PE,64.69,scattered clouds,-6.8367,-79.9342,Hotel Puerto del Sol
251,Balkanabat,TM,67.69,few clouds,39.5108,54.3671,Nebitchi Hotel
253,Mahanje,TZ,64.2,scattered clouds,-9.9333,35.3333,Amani social Hall
256,Alanya,TR,64.53,overcast clouds,36.5438,31.9998,Panorama Hotel
260,Saint-Leu,RE,67.32,scattered clouds,-21.15,55.2833,La Caz Oceane
261,Lucapa,AO,65.23,light rain,-8.4192,20.7447,Lírio Mendes
263,Inhambane,MZ,72.1,scattered clouds,-23.865,35.3833,Oceano
270,Patti,IN,66.27,clear sky,31.2808,74.8572,Karanjit singh shutter rolling industry
274,Tulsipur,NP,64.31,clear sky,28.131,82.2973,Ekanta Hotel Pvt. Ltd
275,Coruripe,BR,74.32,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
276,Dondo,MZ,74.71,broken clouds,-19.6094,34.7431,Pensao Casual
280,Chake Chake,TZ,72.72,few clouds,-5.2459,39.7666,Pemba Sea View Hotel
284,Kutum,SD,74.37,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
291,Bertoua,CM,67.98,broken clouds,4.5833,13.6833,Hotel De Paris
301,Sambava,MG,67.55,broken clouds,-14.2667,50.1667,Melrose
306,Los Llanos De Aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
310,Maputo,MZ,74.88,scattered clouds,-25.9653,32.5892,Pestana Rovuma
311,Richards Bay,ZA,72.34,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
313,Piacabucu,BR,74.98,broken clouds,-10.4056,-36.4344,Piaçabuçu News
314,Carmaux,FR,66.47,scattered clouds,44.051,2.158,Café Hôtel Le Gambetta
316,Villazon,BO,64.54,clear sky,-22.0866,-65.5942,La Candelaria
317,Wielun,PL,60.67,scattered clouds,51.221000000000004,18.5696,Zajazd Boryna
324,Khurai,IN,66.6,clear sky,24.0436,78.3319,Shehnai Garden Hotel & Restaurant Khurai
328,Marsa Matruh,EG,71.8,broken clouds,31.3525,27.2453,Beau Site
329,Fougamou,GA,73.6,broken clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
335,Farafangana,MG,69.03,light rain,-22.8167,47.8333,Miarina
336,Waynesville,US,62.46,few clouds,35.4887,-82.9887,Best Western Smoky Mountain Inn
345,Bengkulu,ID,74.91,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
349,Muisne,EC,74.79,overcast clouds,0.6,-80.0333,Quinta Samay
352,Filadelfia,US,63.95,thunderstorm,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
359,Melong,CM,66.43,broken clouds,5.1218,9.9614,Hôtel de melong
361,San Antonio,US,73.74,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
365,Plettenberg Bay,ZA,61.32,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
366,Rawson,AR,64.69,few clouds,-43.3002,-65.1023,Hosteria Sampedro
370,Taltal,CL,63.16,few clouds,-25.4,-70.4833,Residencial Karime
374,Suez,EG,69.76,scattered clouds,29.9737,32.5263,Green House
376,Benguela,AO,74.7,broken clouds,-12.5763,13.4055,Hotel Praia Morena
378,Likasi,CD,69.12,broken clouds,-10.9814,26.7333,TABERNACLE DE LIKASI
382,Asfi,MA,71.29,broken clouds,32.2994,-9.2372,Hôtel Abda
383,Apac,UG,63.97,broken clouds,1.9756,32.5386,Double Duez Apac
384,Ciro Marina,IT,67.77,clear sky,39.3732,17.125999999999998,Hotel Miramare
386,Viedma,AR,64.22,scattered clouds,-40.8135,-62.9967,Hotel Cristal
389,Tres Arroyos,AR,65.88,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
390,Tuscaloosa,US,69.85,clear sky,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
398,Riesa,DE,63.05,overcast clouds,51.3,13.3,Mercure Hotel Riesa Dresden Elbland
407,Kongolo,CD,71.11,light rain,-5.3833,27.0,GUEST HOUSE OASIS
408,Miranda De Ebro,ES,65.57,clear sky,42.6865,-2.947,Hospedería El Convento
416,Tonj,SS,72.05,light rain,7.2737,28.6822,Lakan Hotel
418,Santa Fe,AR,70.02,light rain,-31.6333,-60.7,Conquistador Hotel
419,Llanera,ES,61.63,clear sky,43.4619,-5.9311,Casa Rural Bosque Albite
422,Amalapuram,IN,74.46,overcast clouds,16.5833,82.0167,swayamprabha service apartments
437,Nathdwara,IN,65.7,clear sky,24.9333,73.8167,Hotel Sudarshan
454,Mananjary,MG,64.51,clear sky,-21.2167,48.3333,Vahiny Lodge
458,Eresos,GR,60.89,clear sky,39.1667,25.9333,Studio Aspa
461,Sanlucar La Mayor,ES,73.49,few clouds,37.3871,-6.2011,Exe Gran Hotel Solucar
