City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,4.61,scattered clouds
79,Mizdah,LY,31.4451,12.9801,62.29,73,5,9.35,clear sky
80,Coquimbo,CL,-29.9533,-71.3436,56.93,76,20,11.5,few clouds
81,Susehri,TR,40.1644,38.0867,53.76,86,97,3.09,overcast clouds
82,Belyy Yar,RU,53.6039,91.3903,42.69,81,0,11.18,clear sky
83,Kalmunai,LK,7.4167,81.8167,77.63,85,81,3.6,broken clouds
84,Leibnitz,AT,46.7816,15.5384,55.87,88,40,1.45,scattered clouds
85,Georgetown,MY,5.4112,100.3354,80.24,85,20,3.44,few clouds
86,Kavaratti,IN,10.5669,72.642,79.29,86,100,16.67,overcast clouds
87,Talnakh,RU,69.4865,88.3972,29.21,97,99,3.89,light snow
88,Nampula,MZ,-15.1165,39.2666,73.35,78,0,5.75,clear sky
89,Ilulissat,GL,69.2167,-51.1,37.42,93,100,4.61,light intensity drizzle
90,Antalaha,MG,-14.9003,50.2788,65.46,83,26,6.64,scattered clouds
91,Challans,FR,46.8436,-1.8749,61.0,89,80,2.48,broken clouds
92,Rivera,UY,-30.9053,-55.5508,61.05,87,100,15.52,overcast clouds
93,Tevriz,RU,57.509,72.4042,37.96,94,94,6.02,overcast clouds
94,Boundiali,CI,9.5217,-6.4869,74.62,71,48,2.28,scattered clouds
95,Chicama,PE,-7.8447,-79.1469,59.54,69,70,9.04,broken clouds
96,Kankon,IN,15.0167,74.0167,77.86,87,100,4.65,overcast clouds
97,Monrovia,LR,6.3005,-10.7969,76.77,85,93,6.78,overcast clouds
98,Port Alfred,ZA,-33.5906,26.891,63.18,93,35,4.0,scattered clouds
99,Berlevag,NO,70.8578,29.0864,41.0,75,75,23.02,broken clouds
100,Lixourion,GR,38.2019,20.4314,66.11,56,0,7.2,clear sky
101,Kruisfontein,ZA,-34.0033,24.7314,59.88,90,76,4.97,broken clouds
102,Kedougou,SN,12.5579,-12.1743,82.98,83,20,0.0,thunderstorm
103,Chiman,PK,32.5463,73.8138,68.22,54,0,4.25,clear sky
104,Barcelona,ES,41.3888,2.159,73.33,84,40,5.75,scattered clouds
105,Dingle,PH,10.9995,122.6711,76.17,91,100,9.13,overcast clouds
106,Dudinka,RU,69.4058,86.1778,29.62,98,100,6.17,overcast clouds
107,Vestmanna,FO,62.1564,-7.1664,43.72,76,75,5.75,broken clouds
108,Tasiilaq,GL,65.6145,-37.6368,33.96,65,100,3.33,overcast clouds
109,Longyearbyen,SJ,78.2186,15.6401,21.04,86,20,6.91,few clouds
110,Rosetta,EG,31.4044,30.4164,72.39,65,49,8.7,scattered clouds
111,Santiago Del Estero,AR,-27.7951,-64.2615,58.69,84,100,5.19,overcast clouds
112,Begun,IN,24.9833,75.0,67.57,59,0,4.32,clear sky
113,Port-Gentil,GA,-0.7193,8.7815,80.56,89,20,9.22,few clouds
114,Porto Walter,BR,-8.2686,-72.7439,82.62,72,96,2.42,overcast clouds
115,Severodvinsk,RU,64.5635,39.8302,42.91,91,100,18.52,overcast clouds
116,Sorland,NO,67.667,12.6934,40.86,58,98,15.57,overcast clouds
117,Saurimo,AO,-9.6608,20.3916,64.04,94,72,3.11,light rain
118,Kovylkino,RU,54.0388,43.9139,42.46,78,81,13.13,broken clouds
119,Carutapera,BR,-1.195,-46.02,79.61,77,16,9.55,few clouds
120,Upata,VE,8.0086,-62.3989,73.54,90,44,3.83,scattered clouds
121,Evinayong,GQ,1.4368,10.5512,68.07,98,99,0.83,overcast clouds
122,Malakal,SS,9.5334,31.6605,72.64,93,99,3.98,overcast clouds
123,Siyabuswa,ZA,-25.1132,29.0445,70.75,51,98,10.85,overcast clouds
124,Thunder Bay,CA,48.4001,-89.3168,31.98,59,75,17.27,broken clouds
125,Tahoua,NE,14.8888,5.2692,84.61,15,2,9.53,clear sky
126,Sao Joao Del Rei,BR,-21.1356,-44.2617,74.79,46,99,5.06,overcast clouds
127,Puksoozero,RU,62.5903,40.6066,40.48,82,61,11.63,broken clouds
128,Dikson,RU,73.5069,80.5464,31.77,99,100,29.66,snow
129,Koygorodok,RU,60.445,50.9968,38.03,96,100,9.06,overcast clouds
130,Xai-Xai,MZ,-25.0519,33.6442,70.75,88,75,7.81,broken clouds
131,Kidal,ML,18.4411,1.4078,84.0,18,50,12.26,scattered clouds
132,Nanortalik,GL,60.1432,-45.2371,36.39,74,100,5.99,overcast clouds
133,Nur,PL,52.6683,22.3221,58.87,70,83,11.21,broken clouds
134,Brae,GB,60.3964,-1.353,48.94,82,100,24.23,light rain
135,Saint-Joseph,RE,-21.3667,55.6167,66.58,80,19,8.7,few clouds
136,Bondo,CD,3.8146,23.6866,68.23,93,96,2.53,overcast clouds
137,Chuy,UY,-33.6971,-53.4616,58.33,80,26,14.34,scattered clouds
138,Sergeyevka,KZ,53.88,67.4158,38.01,93,67,7.25,broken clouds
139,Maldonado,UY,-34.6667,-54.9167,58.39,75,72,13.02,broken clouds
140,Comodoro Rivadavia,AR,-45.8667,-67.5,78.66,19,0,13.8,clear sky
141,Sept-Iles,CA,50.2001,-66.3821,46.4,93,40,4.61,fog
142,Antofagasta,CL,-23.65,-70.4,60.08,72,15,5.68,few clouds
143,Virarajendrapet,IN,12.2,75.8,66.31,99,100,1.39,overcast clouds
144,Luderitz,NA,-26.6481,15.1594,59.92,81,1,9.35,clear sky
145,Mbaiki,CF,3.8678,17.9892,69.57,92,65,2.44,broken clouds
146,Awjilah,LY,29.1081,21.2869,67.69,50,6,11.86,clear sky
147,Cururupu,BR,-1.8283,-44.8683,78.06,81,25,5.5,scattered clouds
148,Lebu,CL,-37.6167,-73.65,54.81,95,74,2.68,broken clouds
149,Atar,MR,20.5169,-13.0499,92.53,14,33,6.04,scattered clouds
150,Carnarvon,AU,-24.8667,113.6333,61.77,59,0,17.22,clear sky
151,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,71,89,20.69,light rain
152,Chadiza,ZM,-14.0678,32.4392,69.82,37,43,3.44,scattered clouds
153,Korla,CN,41.7597,86.1469,52.34,23,73,3.29,broken clouds
154,Guapore,BR,-28.8456,-51.8903,58.78,89,98,3.69,overcast clouds
155,Tazovskiy,RU,67.4667,78.7,34.54,98,100,10.71,overcast clouds
156,Jonkoping,SE,57.7814,14.1562,59.38,100,75,11.5,broken clouds
157,Geraldton,AU,-28.7667,114.6,45.01,93,0,4.61,clear sky
158,Dharmadam,IN,11.7833,75.4333,76.78,90,100,7.54,overcast clouds
159,Karlstad,SE,59.3793,13.5036,45.16,92,75,6.91,mist
160,Dannenberg,DE,53.0967,11.09,64.15,88,100,8.01,overcast clouds
161,Castro,BR,-24.7911,-50.0119,62.53,94,98,7.83,overcast clouds
162,Teguise,ES,29.0605,-13.564,68.22,88,0,4.61,clear sky
163,Aleksandrov Gay,RU,50.147,48.5704,43.03,61,55,7.31,broken clouds
164,Aljezur,PT,37.3191,-8.8033,65.82,90,2,6.2,clear sky
165,Klaksvik,FO,62.2266,-6.589,45.52,82,100,24.32,overcast clouds
166,Okoneshnikovo,RU,54.8377,75.0834,39.43,81,96,10.74,overcast clouds
167,Grado,ES,43.388,-6.0743,64.24,100,0,4.61,clear sky
168,Ibra,OM,22.6906,58.5334,71.15,38,100,1.54,overcast clouds
169,Salinopolis,BR,-0.6136,-47.3561,80.67,76,73,13.2,broken clouds
170,Oranjestad,AW,12.524,-70.027,84.15,83,20,16.11,few clouds
171,Port-Cartier,CA,50.0334,-66.8654,46.08,87,60,3.13,broken clouds
172,Sinnamary,GF,5.3833,-52.95,79.86,83,7,9.06,clear sky
173,Pisco,PE,-13.7,-76.2167,64.45,77,20,16.11,few clouds
174,Umm Kaddadah,SD,13.6017,26.6876,84.7,22,35,14.63,scattered clouds
175,Atbasar,KZ,51.8,68.3333,41.81,69,100,7.78,overcast clouds
